"","time"
"270",106.87846326828
"271",109.057739019394
"272",105.291991710663
"273",109.957186460495
"274",107.81835103035
"275",113.443427562714
"276",111.967924594879
"277",110.997184991837
"278",111.978017091751
"279",111.944572925568
"280",113.995097398758
"281",113.004715442657
"282",112.916883707047
"283",116.203902006149
"284",114.094954490662
"285",115.411796331406
"286",119.608974456787
"287",115.2116355896
"288",117.083502531052
"289",121.830686330795
"290",114.98085308075
"291",117.701631784439
"292",123.893497467041
"293",119.958173274994
"294",123.814726829529
"295",123.986726522446
"296",127.142024278641
"297",126.396200418472
"298",125.933550596237
"299",125.355855941772
"300",127.511294126511
"301",81.9307723045349
"302",85.3008193969727
"303",80.1710286140442
"304",82.3880007266998
"305",84.9191799163818
"306",86.2012400627136
"307",85.1658990383148
"308",87.9288036823273
